65;Praporščiks;Bieļinskis Leonīds;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
66;Praporščiks;Grīnbergs Johans;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
67;Praporščiks;Dolgopolovs Pēteris;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
68;Praporščiks;Mjakonkijs Vasilijs;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
69;Praporščiks;Briedis Johans;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
70;Praporščiks;Lakstīgals Ēriks;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
71;Praporščiks;Dombrovskis Jēkabs;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
72;Praporščiks;Bruņenieks Valters;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
73;Praporščiks;Strazdiņš Fricis;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
74;Praporščiks;Stokets Jānis;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
75;Štābs kapteinis;Rožkalns Kristaps;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;92
76;Poručiks;Čablis Kārlis-Eduards;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;92
77;Poručiks;Ozoliņš Kārlis-Arturs;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;92
78;Podporučiks;Klūge Eduards;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;92
79;Podporučiks;Sperga Jozefs;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;92
80;Praporščiks;Vilāns Juris;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;150
81;Praporščiks;Neiburgs Kārlis;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;267
82;Praporščiks;Zebežs Jānis;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;267
83;Podporučiks;Timmermanis Dāvis;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;158
84;Praporščiks;Zebežs Jānis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;23
85;Praporščiks;Neiburgs Kārlis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;23
86;Štābs kapteinis;Lukažs Miķelis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
87;Poručiks;Dolgopolovs Pēteris;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
88;Poručiks;Bruņenieks Valters;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
89;Poručiks;Volkovs Nikolajs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
90;Podporučiks;Bieļinskis Leonīds;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
91;Podporučiks;Šakers-Pelcmanis Ansis-Žanis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
92;Podporučiks;Mazuhni Antons;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
93;Podporučiks;Sloks Kārlis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
94;Praporščiks;Eglītis Augusts;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
95;Praporščiks;Svinteckis Pēteris;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
96;Praporščiks;Grosbergs Johans;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
97;Praporščiks;Birkmanis Matīss;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
98;Praporščiks;Pīlaps Jānis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
99;Praporščiks;Usonis Juris;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
100;Praporščiks;Liepiņš Otto;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;Kritis;92
101;Praporščiks;Švedrups Ernests-Voldemārs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
102;Praporščiks;Raigs Rūdolfs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
103;Praporščiks;Ojasons Alberts;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
104;Praporščiks;Selters Jozefs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
105;Praporščiks;Lapsa Jānis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
106;Praporščiks;Zvirbulis Kārlis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
107;Praporščiks;Grīnbergs Pāvels;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;92
108;Praporščiks;Baumanis Andrejs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;Kritis;92
